AUD / USD,,,0xB0C712f98daE15264c8E26132BCC91C40aD4d5F9
BTC / ETH,,,0x5fb1616F78dA7aFC9FF79e0371741a747D2a7F22
BTC / USD,,,0x1b44F3514812d835EB1BDB0acB33d3fA3351Ee43
CSPX / USD,,,0x4b531A318B0e44B549F3b2f824721b3D0d51930A
CZK / USD,,,0xC32f0A9D70A34B9E7377C10FDAd88512596f61EA
DAI / USD,,,0x14866185B1962B63C3Ea9E03Bc1da838bab34C19
ETH / USD,,,0x694AA1769357215DE4FAC081bf1f309aDC325306
EUR / USD,,,0x1a81afB8146aeFfCFc5E50e8479e826E7D55b910
FORTH / USD,,,0x070bF128E88A4520b3EfA65AB1e4Eb6F0F9E6632
GBP / USD,,,0x91FAB41F5f3bE955963a986366edAcff1aaeaa83
GHO / USD,,,0x635A86F9fdD16Ff09A0701C305D3a845F1758b8E
IB01 / USD,,,0xB677bfBc9B09a3469695f40477d05bc9BcB15F50
IBTA / USD,,,0x5c13b249846540F81c093Bc342b5d963a7518145
JPY / USD,,,0x8A6af2B75F23831ADc973ce6288e5329F63D86c6
LINK / ETH,,,0x42585eD362B3f1BCa95c640FdFf35Ef899212734
LINK / USD,,,0xc59E3633BAAC79493d908e63626716e204A45EdF
SNX / USD,,,0xc0F82A46033b8BdBA4Bb0B0e28Bc2006F64355bC
USDC / USD,,,0xA2F78ab2355fe2f984D808B5CeE7FD0A93D5270E
XAU / USD,,,0xC5981F461d74c46eB4b0CF3f4Ec79f025573B0Ea
